iter	RMSE
0	0.9441086262
1	0.9190269819
2	0.895711966
3	0.8740933848
4	0.8541192502
5	0.835588895
6	0.8183857866
7	0.8025529598
8	0.7879443812
9	0.7745072669
10	0.7618754087
11	0.7503515671
12	0.738986913
13	0.7289401922
14	0.7194685669
15	0.7110175876
16	0.7032421697
17	0.6959300091
18	0.6894629097
19	0.6831178577
20	0.6771949057
21	0.6715248505
22	0.6665647791
23	0.661980793
24	0.657610955
25	0.6540447725
26	0.650737261
27	0.6470750233
28	0.6437721504
29	0.6409916097
30	0.638466684
31	0.6358338598
32	0.633325054
33	0.6312173863
34	0.6288719451
35	0.6264915967
36	0.6246221725
37	0.622180072
38	0.6203948594
39	0.618407483
40	0.6163160314
41	0.6146345795
42	0.6128579872
43	0.6115304615
44	0.6098692999
45	0.6085972223
46	0.6069741699
47	0.6059164745
48	0.6040664336
49	0.6027679914
50	0.6014981709
51	0.6006323227
52	0.5996811694
53	0.5983072548
54	0.5974300534
55	0.5964729574
56	0.5959839391
57	0.5947310822
58	0.594062025
59	0.5929348018
60	0.5921269595
61	0.5913253143
62	0.5906986335
63	0.5901064052
64	0.5894958697
65	0.5885628149
66	0.5878301082
67	0.5861971921
68	0.5841280255
69	0.5822497875
70	0.5819418796
71	0.5799141215
72	0.5783330938
73	0.5765203739
74	0.5760698897
75	0.5756153463
76	0.573037341
77	0.5727041998
78	0.5722086481
79	0.5717586343
80	0.571400426
81	0.5691125856
82	0.5686545213
83	0.5679265613
84	0.5629772997
85	0.5626105291
86	0.5606643422
87	0.5602931195
88	0.5593046463
89	0.5589728371
90	0.5586989401
91	0.5568955445
92	0.5566172674
93	0.5549549162
94	0.554619746
95	0.5543875198
96	0.5521725562
97	0.5517081104
98	0.5499212107
99	0.5497089526
100	0.5493431755
101	0.5479263266
102	0.5463256527
103	0.5458823864
104	0.5442019678
105	0.5430186054
106	0.5425849324
107	0.5410191737
108	0.5404937422
109	0.5393720114
110	0.5390965407
111	0.5380146455
112	0.5376179169
113	0.5373746767
114	0.5362585066
115	0.5358222208
116	0.5354446726
117	0.5329314405
118	0.5327127692
119	0.5323451474
120	0.5320239724
121	0.5297543676
122	0.5285478294
123	0.527450599
124	0.5272256072
125	0.5269799049
126	0.52671462
127	0.5248016133
128	0.5245638509
129	0.5242682141
130	0.523575023
131	0.5226597371
132	0.5218304266
133	0.5215443594
134	0.5213276086
135	0.519556724
136	0.5193459618
137	0.5185189162
138	0.5182626506
139	0.5180172055
140	0.5174555521
141	0.5167514252
142	0.5152284216
143	0.5148936317
144	0.5143527785
145	0.5141705143
146	0.5138638034
147	0.5136169035
148	0.5122368204
149	0.5110481919
150	0.5106697751
151	0.5104057929
152	0.5087083225
153	0.5083831088
154	0.5081918563
155	0.5078915877
156	0.5069021017
157	0.5064953861
158	0.5061707329
159	0.505810274
160	0.5056079222
161	0.5054627572
162	0.5052041107
163	0.5049654145
164	0.5047205832
165	0.5045510809
166	0.5042980122
167	0.5040995968
168	0.5039507975
169	0.5037654891
170	0.5035933786
171	0.5034780915
172	0.5032703602
173	0.5030943513
174	0.5029369676
175	0.5028037362
176	0.5026632892
177	0.5014689392
178	0.5011551494
179	0.5000062823
180	0.4999099004
181	0.4996961568
182	0.4987656948
183	0.497921469
184	0.4977597615
185	0.4965647288
186	0.496405329
187	0.4962907664
188	0.4961430038
189	0.4960022577
190	0.4958024199
191	0.4955463814
192	0.4954206243
193	0.4952259764
194	0.4950680175
195	0.4943603087
196	0.4942197701
197	0.4940412184
198	0.4939434556
199	0.4937902743
200	0.4936551867
201	0.4934771533
202	0.4933139283
203	0.4931783941
204	0.4930626352
205	0.4928951905
206	0.4923778443
207	0.4914330324
208	0.4907288489
209	0.4905772928
210	0.4904640537
211	0.4903539285
212	0.4902090216
213	0.4900388941
214	0.4898575509
215	0.4897004049
216	0.4888787572
217	0.4887591752
218	0.4886390976
219	0.4865093801
220	0.4863924759
221	0.4862412767
222	0.4861388662
223	0.4859474293
224	0.4857471219
225	0.4855820359
226	0.4854660035
227	0.4853419084
228	0.4852320265
229	0.4851219926
230	0.4850111605
231	0.4848606432
232	0.484721396
233	0.4841972055
234	0.4840892605
235	0.482237711
236	0.4821525078
237	0.4820558773
238	0.4819225222
239	0.4818250254
240	0.4816992034
241	0.4815388933
242	0.4813858835
243	0.4812146621
244	0.481069682
245	0.4809008469
246	0.4807625779
247	0.4781537162
248	0.4775857202
249	0.47750232
250	0.4774028761
251	0.4772911693
252	0.4771717491
253	0.4764083673
254	0.4763166184
255	0.4762414824
256	0.4760902035
257	0.4760028545
258	0.4755092323
259	0.4753949528
260	0.4753112903
261	0.47446192
262	0.4743741504
263	0.4740615474
264	0.4733756401
265	0.4731814854
266	0.4730650735
267	0.4729138455
268	0.4727892421
269	0.4726347699
270	0.4719127896
271	0.4718169968
272	0.4717424059
273	0.4715777827
274	0.4715057063
275	0.4714422415
276	0.4713460496
277	0.4712316666
278	0.4711163098
279	0.4704465795
280	0.4703251715
281	0.4697102985
282	0.4696228455
283	0.4694974633
284	0.46934977
285	0.4692370583
286	0.4691644232
287	0.4690734885
288	0.4689469105
289	0.4688574046
290	0.4687754143
291	0.4686400804
292	0.4684882738
293	0.4673505704
294	0.4667735172
295	0.4666825478
296	0.46661098
297	0.466530436
298	0.4664491308
299	0.4663206224
300	0.4661884601
301	0.4660362341
302	0.4659752787
303	0.4658824704
304	0.4657770133
305	0.4656583595
306	0.4655363669
307	0.4654041095
308	0.4647922103
309	0.4646674048
310	0.4645876034
311	0.4644544236
312	0.4643049001
313	0.4641899514
314	0.4631706137
315	0.4630802548
316	0.4630119447
317	0.4629010578
318	0.4628052541
319	0.4627407768
320	0.4617223478
321	0.461611168
322	0.4615404928
323	0.4613838376
324	0.4612590202
325	0.4611553066
326	0.4610455845
327	0.4607042617
328	0.460634577
329	0.4605226134
330	0.4600095056
331	0.4599194068
332	0.4598542134
333	0.4593993898
334	0.4593244863
335	0.4592750181
336	0.4591585521
337	0.4590332308
338	0.4589613398
339	0.4588450263
340	0.4587781635
341	0.458686171
342	0.458545572
343	0.4582308123
344	0.4581700783
345	0.4580958006
346	0.4580097196
347	0.4571736726
348	0.4568943111
349	0.4567288101
350	0.4566765508
351	0.4564246244
352	0.4563520642
353	0.4562788932
354	0.4561964646
355	0.4559476137
356	0.4558540799
357	0.4557003766
358	0.4555520836
359	0.4554650863
360	0.455395126
361	0.4551556019
362	0.4550708383
363	0.45496531
364	0.4549241463
365	0.4548063291
366	0.4547307236
367	0.4546351023
368	0.4544486123
369	0.4543850136
370	0.4543405854
371	0.4542657342
372	0.4541427732
373	0.4540737906
374	0.4539576894
375	0.4538494509
376	0.453784304
377	0.4525016597
378	0.4524341489
379	0.4523154681
380	0.4522524463
381	0.4521537741
382	0.4520034604
383	0.451908099
384	0.4518495131
385	0.451621539
386	0.4515522963
387	0.451499143
388	0.4514446336
389	0.4514039948
390	0.4513487789
391	0.4512859814
392	0.4511309181
393	0.4509941364
394	0.4506866224
395	0.4504609254
396	0.4503538224
397	0.4502597239
398	0.4502147221
399	0.4501381016
400	0.4500938039
401	0.4497663144
402	0.4496753251
403	0.4496345035
404	0.4495694531
405	0.4494812282
406	0.4494053372
407	0.4493238485
408	0.4492175639
409	0.4491667049
410	0.4491149647
411	0.4488107393
412	0.4487331727
413	0.4486100122
414	0.4485532533
415	0.4484787654
416	0.4483632597
417	0.4483059707
418	0.4482439617
419	0.4481722009
420	0.4481160676
421	0.4479589181
422	0.4479100775
423	0.447859593
424	0.447734162
425	0.4476413139
426	0.447585857
427	0.4475365765
428	0.4474697452
429	0.4473561724
430	0.4473213886
431	0.4469273265
432	0.4467107594
433	0.445515724
434	0.4454317514
435	0.4453185984
436	0.4452656687
437	0.4452105017
438	0.4451376265
439	0.4449831273
440	0.4449226015
441	0.4444667568
442	0.4443504121
443	0.4440640183
444	0.4438186598
445	0.4437421469
446	0.4436865264
447	0.4436133388
448	0.4435283998
449	0.443476903
450	0.4434032848
451	0.4433576941
452	0.4432987938
453	0.4430033305
454	0.4429373726
455	0.4428885703
456	0.4428293113
457	0.4425998639
458	0.4425566977
459	0.4424882846
460	0.442427945
461	0.4423538884
462	0.4420958138
463	0.4419852384
464	0.441909664
465	0.4418410609
466	0.441771382
467	0.441668344
468	0.441623203
469	0.4414887769
470	0.4414348426
471	0.441377308
472	0.441323819
473	0.4412720677
474	0.4412327755
475	0.4411122585
476	0.4410242509
477	0.4409249059
478	0.4408594571
479	0.4407930102
480	0.4406744549
481	0.4405762398
482	0.4404118982
483	0.4401536466
484	0.4401088343
485	0.4400737014
486	0.4399660149
487	0.4398911174
488	0.439800442
489	0.4397345062
490	0.4396024022
491	0.439551565
492	0.4395014537
493	0.4394312318
494	0.4393949976
495	0.4393560267
496	0.4393029193
497	0.4392614316
498	0.4392083109
499	0.4391407882
500	0.4390380489
501	0.4389415792
502	0.4388505715
503	0.4386590567
504	0.4385403845
505	0.4375632082
506	0.4375183697
507	0.4374739814
508	0.4374154368
509	0.4368691659
510	0.4368310778
511	0.436767514
512	0.4366866601
513	0.4366214299
514	0.4365353315
515	0.4364021894
516	0.436181817
517	0.4361384465
518	0.4361016902
519	0.4360647808
520	0.4360026624
521	0.4359299139
522	0.435822096
523	0.4357560393
524	0.4357010807
525	0.4355170967
526	0.4354497513
527	0.4354147408
528	0.4352193105
529	0.4351662626
530	0.4351268918
531	0.4350798593
532	0.4349218673
533	0.4348493097
534	0.4347531952
535	0.4346960074
536	0.4346531802
537	0.4345741383
538	0.4338177471
539	0.4337684279
540	0.4337111001
