iter	Passed	Remaining
0	8956	6260393
1	17275	6029158
2	25980	6036166
3	32598	5672063
4	37894	5267361
5	43504	5032061
6	48633	4814746
7	55258	4779872
8	59536	4571100
9	66130	4563011
10	72991	4571917
11	78703	4512342
12	84499	4465449
13	89336	4377498
14	95913	4380039
15	101943	4358099
16	107502	4319091
17	113128	4286304
18	119218	4273040
19	125053	4251826
20	132020	4268655
21	140202	4320784
22	146128	4301259
23	153344	4319197
24	159512	4306838
25	164508	4264560
26	170302	4244956
27	177673	4264168
28	182414	4220695
29	188391	4207416
30	196053	4230968
31	202013	4217040
32	208744	4219176
33	214322	4198192
34	220609	4191578
35	226587	4179278
36	235588	4221497
37	242886	4231333
38	248680	4214808
39	255208	4210936
40	261816	4208214
41	268358	4204283
42	274029	4186913
43	278740	4155764
44	286068	4163890
45	293251	4169270
46	298720	4150311
47	303771	4126224
48	312740	4154974
49	319074	4147966
50	327312	4165213
51	332508	4143565
52	339081	4139350
53	348637	4170734
54	355946	4174277
55	365641	4204881
56	373800	4216732
57	382112	4229584
58	391606	4254576
59	397533	4240357
60	408631	4280578
61	420729	4329439
62	428189	4329466
63	437781	4350458
64	446944	4366302
65	455316	4373799
66	463836	4382219
67	475195	4416518
68	484045	4426561
69	490389	4413507
70	499318	4423541
71	505469	4408815
72	511614	4394278
73	518529	4386479
74	527391	4394928
75	534073	4385020
76	542748	4391326
77	548356	4372791
78	553885	4353959
79	558389	4327514
80	564895	4316918
81	574827	4332236
82	581393	4321923
83	589687	4324374
84	599045	4334268
85	607073	4334221
86	616329	4342644
87	623808	4338307
88	634070	4353000
89	639507	4334438
90	644723	4314690
91	652512	4312253
92	658120	4295477
93	663618	4278219
94	669592	4264249
95	675150	4247824
96	683154	4246824
97	690685	4242781
98	695463	4221955
99	700806	4204841
100	708070	4199349
101	714890	4191218
102	724068	4196784
103	728501	4174871
104	733671	4157473
105	738158	4136472
106	743913	4122812
107	751758	4120752
108	759274	4116799
109	770104	4130562
110	775053	4112673
111	783129	4111431
112	788806	4097606
113	793117	4076899
114	798532	4062099
115	806422	4059918
116	812004	4046143
117	820639	4047561
118	827386	4039594
119	833811	4030089
120	841095	4024747
121	849746	4025848
122	858035	4025094
123	860973	3999359
124	866689	3986772
125	873769	3980506
126	879241	3966971
127	886534	3961701
128	892199	3949192
129	898486	3939518
130	907798	3943031
131	915882	3941071
132	919293	3919092
133	928178	3920513
134	934970	3913024
135	946475	3925090
136	952561	3914541
137	963085	3922129
138	970229	3915818
139	978265	3913061
140	986226	3909933
141	993272	3903142
142	1003628	3909239
143	1011156	3904185
144	1019211	3901119
145	1024612	3887914
146	1033705	3888701
147	1039119	3875636
148	1048256	3876436
149	1056392	3873438
150	1064219	3869246
151	1069796	3856897
152	1077790	3853278
153	1083968	3843159
154	1092478	3841294
155	1096154	3822488
156	1104297	3819321
157	1113208	3818729
158	1122033	3817737
159	1129180	3810985
160	1137680	3808756
161	1143338	3797012
162	1149697	3787654
163	1158281	3785601
164	1165804	3780034
165	1170289	3764666
166	1179009	3762944
167	1184697	3751540
168	1190120	3739371
169	1196150	3729174
170	1202718	3720690
171	1207227	3705906
172	1213945	3697971
173	1221335	3692082
174	1227957	3683871
175	1234559	3675620
176	1239917	3663710
177	1250133	3666122
178	1256447	3657033
179	1264240	3652250
180	1270186	3642136
181	1278640	3639207
182	1286818	3635437
183	1295189	3632161
184	1301078	3621922
185	1309866	3619737
186	1314922	3607246
187	1322625	3602045
188	1329471	3594497
189	1334495	3582067
190	1342460	3577552
191	1348654	3568314
192	1355308	3560318
193	1361522	3551186
194	1367577	3541675
195	1377181	3541324
196	1383243	3531833
197	1387873	3518749
198	1395557	3513438
199	1403746	3509365
200	1408495	3496712
201	1416133	3491260
202	1425948	3491115
203	1432396	3482689
204	1439366	3475543
205	1444999	3465191
206	1453500	3461718
207	1462918	3460365
208	1471026	3455856
209	1477028	3446400
210	1484289	3439893
211	1493404	3437648
212	1501443	3432876
213	1509283	3427625
214	1515720	3419184
215	1520973	3408106
216	1530829	3407330
217	1538724	3402134
218	1544447	3392143
219	1555267	3393310
220	1560148	3381498
221	1563826	3367157
222	1571459	3361372
223	1577638	3352480
224	1586243	3348735
225	1591006	3336889
226	1597374	3328450
227	1602190	3316815
228	1609771	3310928
229	1614910	3300034
230	1622169	3293496
231	1627887	3283841
232	1634662	3276341
233	1647485	3280889
234	1657226	3279193
235	1667276	3278035
236	1673071	3268490
237	1679155	3259536
238	1686831	3253678
239	1694037	3246905
240	1699759	3237301
241	1708360	3233178
242	1715014	3225355
243	1721779	3217751
244	1730463	3213717
245	1736692	3205115
246	1743459	3197518
247	1752032	3193221
248	1760764	3189176
249	1767979	3182362
250	1774852	3174935
251	1780479	3165297
252	1787792	3158668
253	1796070	3153730
254	1800885	3142722
255	1808164	3136034
256	1817387	3132695
257	1822880	3122919
258	1831917	3119210
259	1839402	3112834
